Reference,Population,Location,Lat,Long,Habitat,Subfamily,T_C,T_K,Birth_Rate,Birth_Source,Dev_Rate,Dev_Source,Juv_Mortality,Jmort_Source,Survival,Surv_Source,Adult_Mortality,Amort_Source,Adult_Longevity,Long_Source,R0,R0_Source,r_m,r_m_Source
Xia et al. 1999,Aphis gossypii China Henan,China Henan,36.07,114.22,Temperate,Sternorrhyncha,20,293,1.577,Calculated,0.118,Calculated,0.055,Calculated,0.63,Table 1,0.064,Calculated,15.6,Table 1,18.5,Table 3,0.255,Table 3
Xia et al. 1999,Aphis gossypii China Henan,China Henan,36.07,114.22,Temperate,Sternorrhyncha,25,298,2.596,Calculated,0.2,Calculated,0.05,Calculated,0.78,Table 1,0.092,Calculated,10.9,Table 1,24.4,Table 3,0.386,Table 3
Xia et al. 1999,Aphis gossypii China Henan,China Henan,36.07,114.22,Temperate,Sternorrhyncha,30,303,1.973,Calculated,0.217,Calculated,0.088,Calculated,0.67,Table 1,0.135,Calculated,7.4,Table 1,10.2,Table 3,0.36,Table 3
Xia et al. 1999,Aphis gossypii China Henan,China Henan,36.07,114.22,Temperate,Sternorrhyncha,35,308,0.851,Calculated,0.185,Calculated,0.239,Calculated,0.28,Table 1,0.213,Calculated,4.7,Table 1,2,Table 3,0.092,Table 3
Jandricic et al. 2010,Aulacorthum solani US Ithaca,US Ithaca,42.42,-76.53,Temperate,Sternorrhyncha,10,283,0.91,Table 7,0.046,Calculated,0.015,Calculated,0.72,Table 3,0.012,Calculated,82.98,Table 7,61.65,Table 8,0.096,Table 8
Jandricic et al. 2010,Aulacorthum solani US Ithaca,US Ithaca,42.42,-76.53,Temperate,Sternorrhyncha,15,288,1.11,Table 7,0.088,Calculated,0,Calculated,1,Table 3,0.014,Calculated,70.08,Table 7,75.42,Table 8,0.305,Table 8
Jandricic et al. 2010,Aulacorthum solani US Ithaca,US Ithaca,42.42,-76.53,Temperate,Sternorrhyncha,20,293,1.58,Table 7,0.119,Calculated,0.007,Calculated,0.94,Table 3,0.022,Calculated,45.47,Table 7,64.46,Table 8,0.41,Table 8
Jandricic et al. 2010,Aulacorthum solani US Ithaca,US Ithaca,42.42,-76.53,Temperate,Sternorrhyncha,25,298,1.48,Table 7,0.145,Calculated,0.004,Calculated,0.97,Table 3,0.036,Calculated,28.16,Table 7,37.68,Table 8,0.444,Table 8
Jandricic et al. 2010,Aulacorthum solani US Ithaca,US Ithaca,42.42,-76.53,Temperate,Sternorrhyncha,30,303,0,Calculated,0.105,Calculated,0.146,Calculated,0.25,Table 3,0.088,Calculated,11.39,Table 7,0,Calculated,0.096,Table 2
Jandricic et al. 2010,Aulacorthum solani US Ithaca,US Ithaca,42.42,-76.53,Temperate,Sternorrhyncha,35,308,,,0,Calculated,,,0,Table 3,,,,,,,,
DeLoach 1974,Brevicoryne brassicae US Columbia,US Columbia,38.93,-92.34,Temperate,Sternorrhyncha,5,278,0,Calculated,0,Calculated,,,0,Figure 2,,,,,0,Table 1,,
DeLoach 1974,Brevicoryne brassicae US Columbia,US Columbia,38.93,-92.34,Temperate,Sternorrhyncha,10,283,0.099,Calculated,0.03,Calculated,0.026,Calculated,0.42,Figure 2,0.015,Calculated,65,Figure 2,6.44,Table 1,0.042,Table 1
DeLoach 1974,Brevicoryne brassicae US Columbia,US Columbia,38.93,-92.34,Temperate,Sternorrhyncha,15,288,0.199,Calculated,0.052,Calculated,0.029,Calculated,0.57,Figure 2,0.018,Calculated,55,Figure 2,10.96,Table 1,0.088,Table 1
DeLoach 1974,Brevicoryne brassicae US Columbia,US Columbia,38.93,-92.34,Temperate,Sternorrhyncha,20,293,0.343,Calculated,0.081,Calculated,0.042,Calculated,0.6,Figure 2,0.031,Calculated,32,Figure 2,10.96,Table 1,0.134,Table 1
DeLoach 1974,Brevicoryne brassicae US Columbia,US Columbia,38.93,-92.34,Temperate,Sternorrhyncha,25,298,0.131,Calculated,0.096,Calculated,0.067,Calculated,0.5,Figure 2,0.037,Calculated,27,Figure 2,3.53,Table 1,0.098,Table 1
DeLoach 1974,Brevicoryne brassicae US Columbia,US Columbia,38.93,-92.34,Temperate,Sternorrhyncha,30,303,0.003,,0.091,Calculated,0.179,Calculated,0.14,Figure 2,0.067,Calculated,15,Figure 2,0.04,Table 1,-0.203,Table 1
DeLoach 1974,Brevicoryne brassicae US Columbia,US Columbia,38.93,-92.34,Temperate,Sternorrhyncha,35,308,0,Calculated,0,Calculated,,,0,Figure 2,,,,,0,Table 1,,
DeLoach 1974,Myzus persicae US Columbia,US Columbia,38.93,-92.34,Temperate,Sternorrhyncha,5,278,0.031,Calculated,0.015,Calculated,0.015,Calculated,0.35,Figure 2,0.018,Calculated,56,Figure 2,1.73,Table 1,0.007,Table 1
DeLoach 1974,Myzus persicae US Columbia,US Columbia,38.93,-92.34,Temperate,Sternorrhyncha,10,283,0.221,Calculated,0.038,Calculated,0.024,Calculated,0.54,Figure 2,0.015,Calculated,65,Figure 2,14.38,Table 1,0.074,Table 1
DeLoach 1974,Myzus persicae US Columbia,US Columbia,38.93,-92.34,Temperate,Sternorrhyncha,15,288,0.571,Calculated,0.072,Calculated,0.018,Calculated,0.78,Figure 2,0.017,Calculated,58,Figure 2,33.14,Table 1,0.167,Table 1
DeLoach 1974,Myzus persicae US Columbia,US Columbia,38.93,-92.34,Temperate,Sternorrhyncha,20,293,0.863,Calculated,0.114,Calculated,0.025,Calculated,0.8,Figure 2,0.022,Calculated,45,Figure 2,38.82,Table 1,0.27,Table 1
DeLoach 1974,Myzus persicae US Columbia,US Columbia,38.93,-92.34,Temperate,Sternorrhyncha,25,298,0.767,Calculated,0.13,Calculated,0.037,Calculated,0.75,Figure 2,0.029,Calculated,35,Figure 2,26.86,Table 1,0.277,Table 1
DeLoach 1974,Myzus persicae US Columbia,US Columbia,38.93,-92.34,Temperate,Sternorrhyncha,30,303,0.002,,0.109,Calculated,0.138,Calculated,0.28,Figure 2,0.067,Calculated,15,Figure 2,0.03,Table 1,-0.119,Table 1
DeLoach 1974,Myzus persicae US Columbia,US Columbia,38.93,-92.34,Temperate,Sternorrhyncha,35,308,0,Calculated,0,Calculated,,,0,Figure 2,,,,,0,Table 1,,
DeLoach 1974,Hyadaphis pseudobrassicae US Columbia,US Columbia,38.93,-92.34,Temperate,Sternorrhyncha,5,278,0,Calculated,0.016,Calculated,,,0,Figure 2,0.015,Calculated,68,Figure 2,0.03,Table 1,-0.051,Table 1
DeLoach 1974,Hyadaphis pseudobrassicae US Columbia,US Columbia,38.93,-92.34,Temperate,Sternorrhyncha,10,283,0.203,Calculated,0.031,Calculated,0.016,Calculated,0.6,Figure 2,0.017,Calculated,58,Figure 2,11.8,Table 1,0.067,Table 1
DeLoach 1974,Hyadaphis pseudobrassicae US Columbia,US Columbia,38.93,-92.34,Temperate,Sternorrhyncha,15,288,0.842,Calculated,0.065,Calculated,0.023,Calculated,0.7,Figure 2,0.023,Calculated,43,Figure 2,36.2,Table 1,0.159,Table 1
DeLoach 1974,Hyadaphis pseudobrassicae US Columbia,US Columbia,38.93,-92.34,Temperate,Sternorrhyncha,20,293,1.757,Calculated,0.116,Calculated,0.05,Calculated,0.65,Figure 2,0.034,Calculated,29,Figure 2,50.96,Table 1,0.31,Table 1
DeLoach 1974,Hyadaphis pseudobrassicae US Columbia,US Columbia,38.93,-92.34,Temperate,Sternorrhyncha,25,298,2.176,Calculated,0.145,Calculated,0.065,Calculated,0.64,Figure 2,0.056,Calculated,18,Figure 2,39.16,Table 1,0.372,Table 1
DeLoach 1974,Hyadaphis pseudobrassicae US Columbia,US Columbia,38.93,-92.34,Temperate,Sternorrhyncha,30,303,,,0.13,Calculated,0.09,Calculated,0.5,Figure 2,,,,,6.8,Table 1,0.207,Table 1
DeLoach 1974,Hyadaphis pseudobrassicae US Columbia,US Columbia,38.93,-92.34,Temperate,Sternorrhyncha,35,308,0,Calculated,0,Calculated,,,0,Figure 2,,,,,0,Table 1,0,Calculated
